date,pm25,pm10,o3,no2,so2
2015-07-15,34.0,26.0,28.0,16.0,
2015-07-16,35.0,14.0,31.0,12.0,
2015-07-17,23.0,15.0,32.0,11.0,
2015-07-18,33.0,11.0,27.0,4.0,
2015-07-19,24.0,17.0,27.0,11.0,
2015-07-20,27.0,14.0,27.0,7.0,
2015-07-21,17.0,10.0,29.0,8.0,
2015-07-22,17.0,16.0,31.0,10.0,
2015-07-23,30.0,13.0,26.0,6.0,
2015-07-24,23.0,14.0,31.0,10.0,
2015-07-25,23.0,21.0,28.0,12.0,
2015-07-26,35.0,13.0,27.0,11.0,
2015-07-27,26.0,26.0,29.0,16.0,
2015-07-28,32.0,26.0,32.0,24.0,1.0
2015-07-29,47.0,13.0,35.0,11.0,
2015-07-30,26.0,11.0,30.0,12.0,
2015-07-31,20.0,8.0,22.0,11.0,
2015-08-01,17.0,10.0,34.0,10.0,
2015-08-02,27.0,14.0,29.0,15.0,
2015-08-03,28.0,14.0,28.0,14.0,
2015-08-04,23.0,27.0,30.0,26.0,
2015-08-05,42.0,27.0,31.0,18.0,
2015-08-06,44.0,21.0,34.0,15.0,
2015-08-07,33.0,20.0,42.0,12.0,
2015-08-08,43.0,15.0,31.0,8.0,
2015-08-09,36.0,25.0,28.0,21.0,
2015-08-10,39.0,30.0,36.0,26.0,
2015-08-11,42.0,28.0,28.0,19.0,
2015-08-12,49.0,17.0,24.0,13.0,
2015-08-13,23.0,16.0,26.0,12.0,
2015-08-14,18.0,17.0,23.0,16.0,
2015-08-15,25.0,29.0,26.0,17.0,
2015-08-16,32.0,28.0,25.0,23.0,
2015-08-17,29.0,30.0,30.0,21.0,
2015-08-18,30.0,33.0,27.0,24.0,
2015-08-19,30.0,30.0,23.0,29.0,
2015-08-20,39.0,26.0,35.0,17.0,
2015-08-21,37.0,26.0,36.0,21.0,
2015-08-22,35.0,31.0,39.0,26.0,
2015-08-23,48.0,34.0,30.0,18.0,
2015-08-24,55.0,34.0,33.0,19.0,
2015-08-25,49.0,23.0,28.0,12.0,
2015-08-26,37.0,19.0,27.0,15.0,
2015-08-27,34.0,11.0,38.0,14.0,
2015-08-28,31.0,11.0,25.0,7.0,
2015-08-29,16.0,14.0,25.0,12.0,
2015-08-30,20.0,17.0,28.0,17.0,
2015-08-31,27.0,26.0,24.0,21.0,
2015-09-01,31.0,20.0,16.0,17.0,
2015-09-02,29.0,9.0,19.0,17.0,
2015-09-03,21.0,17.0,30.0,19.0,
2015-09-04,25.0,11.0,34.0,14.0,
2015-09-05,22.0,14.0,27.0,23.0,
2015-09-06,26.0,13.0,12.0,19.0,
2015-09-07,23.0,12.0,17.0,16.0,
2015-09-08,20.0,17.0,17.0,19.0,
2015-09-09,28.0,18.0,20.0,18.0,
2015-09-10,29.0,29.0,22.0,22.0,
2015-09-11,45.0,22.0,25.0,17.0,
2015-09-12,41.0,14.0,25.0,9.0,
2015-09-13,29.0,22.0,24.0,13.0,
2015-09-14,37.0,27.0,25.0,11.0,
2015-09-15,40.0,20.0,18.0,14.0,
2015-09-16,51.0,23.0,18.0,15.0,
2015-09-17,59.0,16.0,33.0,8.0,
2015-09-18,49.0,11.0,33.0,3.0,
2015-09-19,22.0,11.0,24.0,9.0,
2015-09-20,21.0,13.0,18.0,25.0,
2015-09-21,27.0,9.0,28.0,10.0,
2015-09-22,25.0,14.0,22.0,8.0,
2015-09-23,24.0,24.0,33.0,16.0,
2015-09-24,47.0,14.0,28.0,14.0,
2015-09-25,32.0,11.0,23.0,11.0,
2015-09-26,22.0,10.0,21.0,10.0,
2015-09-27,16.0,15.0,18.0,15.0,
2015-09-28,20.0,17.0,19.0,17.0,
2015-09-29,27.0,10.0,24.0,12.0,
2015-09-30,15.0,11.0,21.0,11.0,
2015-10-01,21.0,11.0,25.0,9.0,
2015-10-02,20.0,12.0,26.0,6.0,
2015-10-03,19.0,,,,
2015-10-04,,19.0,19.0,21.0,
2015-10-05,30.0,21.0,17.0,24.0,
2015-10-06,23.0,25.0,18.0,30.0,
2015-10-07,33.0,26.0,18.0,32.0,
2015-10-08,35.0,24.0,18.0,31.0,
2015-10-09,31.0,16.0,23.0,21.0,
2015-10-10,21.0,17.0,23.0,22.0,
2015-10-11,30.0,17.0,20.0,18.0,
2015-10-12,32.0,22.0,20.0,27.0,
2015-10-13,35.0,14.0,21.0,20.0,
2015-10-14,22.0,13.0,15.0,19.0,
2015-10-15,25.0,16.0,22.0,17.0,1.0
2015-10-16,28.0,28.0,22.0,27.0,
2015-10-17,58.0,17.0,15.0,17.0,
2015-10-18,30.0,20.0,19.0,17.0,
2015-10-19,26.0,19.0,20.0,13.0,
2015-10-20,22.0,23.0,13.0,9.0,
2015-10-21,35.0,23.0,16.0,8.0,1.0
2015-10-22,46.0,12.0,18.0,12.0,
2015-10-23,18.0,15.0,19.0,15.0,
2015-10-24,13.0,12.0,22.0,8.0,
2015-10-25,21.0,14.0,21.0,11.0,
2015-10-26,10.0,15.0,20.0,15.0,
2015-10-27,14.0,28.0,19.0,27.0,1.0
2015-10-28,29.0,19.0,19.0,23.0,
2015-10-29,23.0,36.0,8.0,29.0,
2015-10-30,43.0,16.0,23.0,14.0,
2015-10-31,42.0,30.0,27.0,7.0,1.0
2015-11-01,84.0,21.0,15.0,10.0,
2015-11-02,50.0,19.0,20.0,15.0,
2015-11-03,28.0,15.0,23.0,13.0,
2015-11-04,22.0,,,,
2015-11-10,,17.0,17.0,18.0,
2015-11-11,21.0,18.0,16.0,26.0,
2015-11-12,29.0,13.0,16.0,13.0,
2015-11-13,18.0,14.0,20.0,8.0,
